Language,Files,Blank,Comment,Code
Jupyter Notebook,755,0,13088660,13088660
HTML,1612,314395,84369,84369
TypeScript,1263,33030,61948,61948
JavaScript,1518,26311,48198,48198
Python,1286,46291,47808,47808
C/C++ Header,533,18912,36558,36558
Ruby,1345,23105,33158,33158
C++,993,27471,31789,31789
C,601,19410,14404,14404
Go,449,14516,8613,8613
Assembly,57,2616,5267,5267
Java,66,1712,4090,4090
YAML,511,2993,2585,2585
Swift,52,2348,1938,1938
CSS,110,14056,1893,1893
Markdown,5091,122877,1684,1684
LESS,71,1178,1533,1533
Bourne Shell,118,1304,1429,1429
yacc,34,578,920,920
SQL,13,662,856,856
CMake,91,731,761,761
Lua,9,146,530,530
make,54,820,506,506
Expect,18,244,484,484
lex,1,175,403,403
PowerShell,9,113,371,371
Dart,58,942,364,364
reStructuredText,12,1945,348,348
SCSS,42,813,302,302
Dockerfile,40,307,236,236
Bourne Again Shell,11,117,230,230
SVG,1010,90,188,188
GraphQL,1,142,123,123
Starlark,6,91,118,118
Perl,2,58,103,103
XML,110,68,90,90
TOML,14,113,77,77
Julia,1,18,52,52
m4,14,145,48,48
Haml,1,47,40,40
Gradle,7,47,36,36
R,3,160,31,31
Properties,4,0,18,18
ProGuard,1,3,18,18
DOS Batch,16,103,10,10
CUDA,1,6,9,9
Visual Studio Solution,8,8,8,8
JSX,32,114,4,4
Rust,2,16,1,1
Protocol Buffers,1,25,1,1
kvlang,2,5,0,0
Text,477,53031,0,0
SWIG,3,3766,0,0
Kotlin,1,2,0,0
JSON,6186,222,0,0
INI,15,60,0,0
ERB,7,58,0,0
D,4,0,0,0
CSV,1561,1141851,0,0
Bazel,1,5,0,0
Ant,1,14,0,0
